response_id;customer_id;data_resposta;industria;empresa;produto;jornada;canal;regiao;segmento;nps_score
R0001;C0575;2025-01-14;Banco;ContaMais;Conta Corrente;Renovação;Call Center;Sul;Média Renda;7
R0002;C0160;2025-05-23;Telecom;LegacyTel;Celular Pré-Pago;Renovação;Loja/Agência;Norte;PME;6
R0003;C0634;2025-11-18;Telecom;LegacyTel;Celular Pós-Pago;Onboarding;App;Centro-Oeste;Baixa Renda;5
R0004;C0374;2025-11-22;Varejo;LojaFácil;Entrega;Uso do App/Site;Loja/Agência;Sudeste;Baixa Renda;10
R0005;C0058;2025-06-16;Telecom;FibraMax;Celular Pós-Pago;Pagamento;Website;Nordeste;Baixa Renda;6
R0006;C0470;2025-11-26;Telecom;MobileNow;Internet Fixa;Cancelamento;Call Center;Centro-Oeste;Alta Renda;5
R0007;C0157;2025-02-26;Telecom;Connecta;Celular Pós-Pago;Uso do App/Site;Website;Norte;Premium;7
R0008;C0699;2025-02-28;Telecom;FibraMax;Celular Pré-Pago;Atendimento;Atendimento Humano;Sudeste;PME;7
R0009;C0655;2025-06-02;Varejo;MercadoBom;Entrega;Pagamento;App;Nordeste;PME;7
R0010;C0581;2025-05-04;Telecom;LegacyTel;Internet Fixa;Pagamento;Website;Norte;Premium;4
R0011;C0206;2025-12-20;Banco;TradBank;Conta Corrente;Renovação;Chatbot;Sudeste;Premium;6
R0012;C0008;2025-04-23;Varejo;SuperPrime;Loja Física;Renovação;Loja/Agência;Nordeste;PME;5
R0013;C0485;2025-05-05;Banco;TradBank;Empréstimo;Renovação;App;Sul;Baixa Renda;9
R0014;C0112;2025-06-23;Seguros;SeguroDireto;Seguro Auto;Onboarding;App;Centro-Oeste;Alta Renda;8
R0015;C0016;2025-10-04;Telecom;MobileNow;Internet Fixa;Uso do App/Site;Atendimento Humano;Centro-Oeste;Média Renda;6
R0016;C0293;2025-08-21;Banco;TradBank;Conta Corrente;Uso do App/Site;Chatbot;Centro-Oeste;PME;4
R0017;C0162;2025-09-29;Seguros;SeguroDireto;Seguro Vida;Renovação;Atendimento Humano;Centro-Oeste;Média Renda;7
R0018;C0084;2025-11-14;Banco;Atlas Bank;Empréstimo;Onboarding;Website;Sudeste;Premium;8
R0019;C0010;2025-02-07;Seguros;SeguroDireto;Seguro Vida;Reclamação;Atendimento Humano;Norte;Alta Renda;7
R0020;C0557;2025-08-13;Seguros;VidaSul;Seguro Vida;Reclamação;App;Sudeste;Premium;5
R0021;C0289;2025-05-20;Varejo;SuperPrime;Entrega;Cancelamento;Loja/Agência;Norte;Baixa Renda;4
R0022;C0134;2025-06-20;Telecom;LegacyTel;Celular Pré-Pago;Pagamento;Website;Nordeste;Premium;10
R0023;C0043;2025-03-07;Varejo;MercadoBom;Compra Online;Renovação;Chatbot;Norte;PME;6
R0024;C0167;2025-05-02;Varejo;SuperPrime;Loja Física;Cancelamento;App;Nordeste;Média Renda;6
R0025;C0359;2025-08-24;Telecom;FibraMax;Celular Pós-Pago;Onboarding;Website;Nordeste;PME;9
R0026;C0340;2025-10-02;Varejo;SuperPrime;Compra Online;Uso do App/Site;App;Sul;PME;9
R0027;C0447;2025-01-23;Banco;Nexa Bank;Conta Corrente;Pagamento;Website;Norte;Alta Renda;10
R0028;C0520;2025-06-03;Banco;Nexa Bank;Empréstimo;Cancelamento;Atendimento Humano;Sul;Alta Renda;6
R0029;C0312;2025-01-01;Varejo;SuperPrime;Entrega;Atendimento;Call Center;Centro-Oeste;Alta Renda;5
R0030;C0291;2025-02-13;Varejo;SuperPrime;Compra Online;Atendimento;Atendimento Humano;Norte;Alta Renda;9
R0031;C0394;2025-12-23;Varejo;CompreJá;Compra Online;Cancelamento;Website;Nordeste;Média Renda;6
R0032;C0468;2025-03-04;Seguros;ClasseA;Seguro Residencial;Uso do App/Site;Website;Sudeste;Baixa Renda;5
R0033;C0461;2025-09-01;Telecom;Connecta;Celular Pós-Pago;Renovação;Atendimento Humano;Norte;Premium;6
R0034;C0083;2025-10-04;Varejo;MercadoBom;Compra Online;Cancelamento;Loja/Agência;Nordeste;Premium;8
R0035;C0590;2025-01-11;Telecom;Connecta;Internet Fixa;Uso do App/Site;Chatbot;Sul;Média Renda;8
R0036;C0225;2025-09-07;Seguros;Protege+;Seguro Residencial;Onboarding;Call Center;Nordeste;PME;9
R0037;C0028;2025-12-06;Varejo;MercadoBom;Loja Física;Atendimento;App;Centro-Oeste;Alta Renda;5
R0038;C0259;2025-08-04;Banco;TradBank;Empréstimo;Atendimento;Website;Centro-Oeste;Média Renda;6
R0039;C0157;2025-11-15;Banco;TradBank;Cartão de Crédito;Onboarding;Loja/Agência;Norte;Baixa Renda;8
R0040;C0319;2025-03-25;Telecom;MobileNow;Internet Fixa;Atendimento;Loja/Agência;Sudeste;Premium;2
R0041;C0580;2025-03-03;Banco;ContaMais;Empréstimo;Onboarding;Call Center;Norte;PME;5
R0042;C0157;2025-08-24;Banco;Atlas Bank;Cartão de Crédito;Reclamação;Chatbot;Nordeste;Baixa Renda;7
R0043;C0250;2025-08-19;Seguros;SeguroDireto;Seguro Auto;Renovação;Atendimento Humano;Nordeste;Premium;8
R0044;C0283;2025-11-02;Seguros;VidaSul;Seguro Vida;Reclamação;Loja/Agência;Centro-Oeste;Alta Renda;10
R0045;C0314;2025-05-05;Banco;Nexa Bank;Empréstimo;Uso do App/Site;App;Sul;PME;4
R0046;C0324;2025-04-09;Varejo;LojaFácil;Loja Física;Reclamação;Atendimento Humano;Nordeste;PME;5
R0047;C0184;2025-07-04;Banco;ContaMais;Empréstimo;Reclamação;Loja/Agência;Sul;Média Renda;7
R0048;C0588;2025-01-07;Varejo;SuperPrime;Compra Online;Renovação;Atendimento Humano;Sul;Alta Renda;8
R0049;C0577;2025-03-18;Varejo;SuperPrime;Loja Física;Atendimento;Chatbot;Nordeste;Média Renda;8
R0050;C0440;2025-10-29;Varejo;SuperPrime;Compra Online;Uso do App/Site;App;Norte;PME;7
R0051;C0609;2025-12-19;Varejo;SuperPrime;Entrega;Reclamação;App;Norte;Baixa Renda;7
R0052;C0436;2025-04-12;Seguros;ClasseA;Seguro Residencial;Onboarding;Website;Nordeste;Alta Renda;8
R0053;C0413;2025-06-05;Banco;ContaMais;Empréstimo;Uso do App/Site;Loja/Agência;Sul;Alta Renda;7
R0054;C0602;2025-10-22;Varejo;MercadoBom;Entrega;Reclamação;Chatbot;Centro-Oeste;Baixa Renda;5
R0055;C0357;2025-08-29;Banco;Nexa Bank;Empréstimo;Cancelamento;Call Center;Norte;Baixa Renda;6
R0056;C0323;2025-02-15;Seguros;SeguroDireto;Seguro Residencial;Pagamento;Loja/Agência;Sudeste;Média Renda;6
R0057;C0563;2025-05-17;Varejo;MercadoBom;Loja Física;Onboarding;Chatbot;Norte;Baixa Renda;5
R0058;C0231;2025-02-17;Telecom;Connecta;Celular Pós-Pago;Atendimento;Loja/Agência;Centro-Oeste;Baixa Renda;3
R0059;C0521;2025-11-03;Banco;ContaMais;Cartão de Crédito;Onboarding;Loja/Agência;Sul;PME;9
R0060;C0458;2025-03-18;Telecom;Connecta;Internet Fixa;Pagamento;Chatbot;Nordeste;Premium;7
R0061;C0391;2025-08-31;Seguros;ClasseA;Seguro Residencial;Pagamento;Atendimento Humano;Norte;PME;6
R0062;C0016;2025-08-22;Seguros;Protege+;Seguro Vida;Cancelamento;Loja/Agência;Sul;PME;9
R0063;C0642;2025-06-12;Telecom;Connecta;Celular Pós-Pago;Cancelamento;Loja/Agência;Sul;Baixa Renda;0
R0064;C0103;2025-12-27;Seguros;ClasseA;Seguro Vida;Onboarding;Atendimento Humano;Sudeste;Média Renda;5
R0065;C0625;2025-02-10;Seguros;VidaSul;Seguro Auto;Renovação;Call Center;Sudeste;Baixa Renda;6
R0066;C0560;2025-12-13;Seguros;Protege+;Seguro Vida;Renovação;Website;Centro-Oeste;Premium;9
R0067;C0589;2025-07-03;Telecom;FibraMax;Internet Fixa;Atendimento;Call Center;Norte;Alta Renda;6
